country,category,name,field,symbol,currency,file
US,sectors,Technology,etf,XLK,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLK.csv
US,sectors,Healthcare,etf,XLV,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLV.csv
US,sectors,Financials,etf,XLF,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLF.csv
US,sectors,Cons_Discr.,etf,XLY,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLY.csv
US,sectors,Cons_Staples,etf,XLP,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLP.csv
US,sectors,Industrials,etf,XLI,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLI.csv
US,sectors,Energy,etf,XLE,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLE.csv
US,sectors,Materials,etf,XLB,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLB.csv
US,sectors,Utilities,etf,XLU,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLU.csv
US,sectors,Comm_Services,etf,XLC,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLC.csv
US,sectors,Real_Estate,etf,XLRE,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/XLRE.csv
US,factors,Large_Cap,index,^GSPC,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_GSPC.csv
US,factors,Mid_Cap,index,^SP400,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_SP400.csv
US,factors,Small_Cap,index,^RUT,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_RUT.csv
US,factors,Small_Cap_600,index,^SP600,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_SP600.csv
US,factors,Nasdaq_100,index,^NDX,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_NDX.csv
US,factors,Micro_Cap,etf,IWC,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IWC.csv
US,factors,Small_Value,etf,IJS,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IJS.csv
US,factors,Small_Growth,etf,IJT,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IJT.csv
US,factors,Mid_Value,etf,IWS,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IWS.csv
US,factors,Mid_Growth,etf,IWP,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IWP.csv
US,factors,Equal_Weight,etf,RSP,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/RSP.csv
US,factors,Low_Vol,etf,USMV,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/USMV.csv
US,factors,High_Beta,etf,SPHB,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SPHB.csv
US,factors,Low_Beta,etf,SPLV,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SPLV.csv
US,factors,High_Dividend,etf,VYM,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/VYM.csv
US,factors,Dividend_Growth,etf,VIG,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/VIG.csv
US,factors,Value,etf,IUSV,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IUSV.csv
US,factors,Growth,etf,IUSG,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IUSG.csv
US,factors,Momentum,etf,MTUM,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/MTUM.csv
US,factors,Quality,etf,QUAL,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/QUAL.csv
US,factors,High_Quality,etf,SPHQ,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SPHQ.csv
US,factors,Profitability,etf,COWZ,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/COWZ.csv
US,factors,Multi_Factor,etf,LRGF,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/LRGF.csv
