timestamp,EIUIR,EIUIR10,EIUIREXFUELS,EIUIR0,EIUIR1,EIUIR2,EIUIR3,EIUIR4,EIUIV131
2020-01-01,125.2,212.0,116.0,178.6,188.1,87.6,110.2,106.8,178.1
2020-02-01,124.3,192.7,116.2,180.7,181.9,87.7,110.2,106.8,176.3
2020-03-01,121.3,141.6,116.2,178.9,163.1,87.8,110.4,106.5,180.7
2020-04-01,118.2,97.8,115.6,176.1,143.2,88.0,110.8,106.4,252.8
2020-05-01,119.0,111.4,115.7,179.2,147.6,88.1,110.7,106.4,319.0
2020-06-01,120.6,134.4,116.0,178.6,157.7,88.2,110.7,106.6,309.0
2020-07-01,122.1,154.8,116.2,176.9,166.8,88.2,110.6,106.8,265.8
2020-08-01,123.2,160.5,117.0,178.0,172.7,88.3,110.7,107.0,271.7
2020-09-01,123.4,152.9,117.6,180.0,172.8,88.4,111.0,107.0,263.8
2020-10-01,123.3,151.4,117.6,179.9,172.6,88.4,111.0,106.9,274.7
2020-11-01,123.4,158.1,117.4,175.9,174.9,88.4,110.9,106.9,301.6
2020-12-01,124.6,169.6,117.9,176.2,181.9,88.4,110.9,107.0,320.9
2021-01-01,126.5,184.9,119.0,179.4,192.5,88.6,111.4,107.0,302.3
2021-02-01,128.0,205.1,119.5,181.8,201.6,88.7,111.5,107.0,312.5
2021-03-01,129.9,221.5,120.6,185.7,212.9,88.9,111.6,107.1,299.5
2021-04-01,131.1,225.6,121.6,190.1,218.2,89.1,111.8,107.2,322.0
2021-05-01,132.8,237.4,122.7,189.7,229.1,89.2,112.0,107.5,339.3
2021-06-01,134.2,249.0,123.5,193.2,235.4,89.5,112.2,107.8,347.1
2021-07-01,134.6,256.3,123.5,194.4,236.0,89.8,112.7,108.0,327.7
2021-08-01,134.3,250.6,123.5,195.6,232.3,90.0,113.0,108.2,328.0
2021-09-01,134.9,259.7,123.6,198.4,234.6,90.0,113.1,108.5,342.5
2021-10-01,136.9,288.5,124.2,200.0,246.7,90.2,113.6,108.6,358.1
2021-11-01,137.9,295.6,124.9,199.8,252.2,90.4,113.8,108.9,407.9
2021-12-01,137.4,272.9,125.5,200.4,246.7,90.6,113.8,109.4,361.1
2022-01-01,140.1,292.9,127.3,207.0,258.3,91.4,114.5,109.8,383.9
2022-02-01,142.6,323.9,128.3,210.3,271.2,91.8,114.8,110.2,350.0
2022-03-01,146.8,381.7,129.9,210.9,296.5,92.2,114.9,110.5,359.5
2022-04-01,147.5,384.9,130.4,212.7,298.6,92.6,115.3,110.5,350.3
2022-05-01,148.2,408.3,130.0,211.5,302.6,92.9,115.9,110.4,364.8
2022-06-01,148.5,431.3,129.2,210.1,305.3,92.9,116.1,110.0,361.1
2022-07-01,146.4,401.4,128.6,208.5,291.8,93.0,116.7,110.2,314.4
2022-08-01,144.6,367.0,128.3,205.3,280.9,92.9,116.4,110.3,325.3
2022-09-01,143.1,344.0,127.9,206.1,271.7,92.8,116.5,110.1,321.5
2022-10-01,142.7,336.6,127.8,204.1,268.8,93.0,117.1,110.0,283.3
2022-11-01,141.6,323.5,127.4,207.8,261.1,93.1,117.1,109.8,258.7
2022-12-01,141.8,316.2,127.9,209.0,260.9,93.3,117.2,109.9,284.9
2023-01-01,141.3,300.9,128.1,211.8,255.4,93.6,117.7,110.0,251.2
2023-02-01,141.0,284.2,128.6,214.6,250.3,93.8,117.7,110.5,239.6
2023-03-01,139.9,271.7,128.0,212.4,244.0,93.7,117.5,110.2,232.8
2023-04-01,140.3,284.1,127.9,211.0,247.8,93.7,117.6,110.3,239.4
2023-05-01,139.7,269.8,127.9,209.2,243.0,93.7,118.0,110.4,227.0
2023-06-01,139.4,272.7,127.5,208.9,242.0,93.6,117.9,110.1,240.1
2023-07-01,139.4,275.9,127.4,213.3,240.9,93.5,118.6,109.8,242.1
2023-08-01,140.3,300.2,127.2,214.6,247.2,93.4,118.6,109.8,222.0
2023-09-01,141.0,319.5,126.9,213.9,252.2,93.4,118.7,109.8,231.1
2023-10-01,140.1,306.9,126.7,213.0,247.3,93.2,119.2,109.5,229.6
2023-11-01,139.4,287.5,126.8,215.1,241.5,93.2,119.1,109.5,239.3
2023-12-01,138.4,264.6,126.9,214.6,235.0,93.1,119.1,109.4,268.0
2024-01-01,139.4,269.0,127.7,217.7,236.2,93.5,120.0,110.6,226.8
2024-02-01,139.7,272.0,127.8,218.2,236.3,93.7,120.1,111.0,219.0
2024-03-01,140.5,285.5,128.1,222.0,242.1,93.5,120.3,110.6,220.2
2024-04-01,141.7,296.7,128.9,222.8,250.0,93.6,120.8,110.8,232.6
2024-05-01,141.5,297.4,128.6,219.5,249.8,93.5,120.8,110.9,231.0
2024-06-01,141.6,292.4,128.9,221.9,249.3,93.6,120.9,110.7,232.6
2024-07-01,141.8,292.3,129.1,226.4,249.0,93.6,121.5,110.6,260.9
2024-08-01,141.4,282.7,129.1,225.9,245.4,93.7,121.7,110.5,266.8
2024-09-01,140.9,262.3,129.4,226.6,240.6,93.9,121.9,110.7,283.5
2024-10-01,141.1,259.6,129.7,225.2,241.6,94.0,122.2,110.8,271.8
2024-11-01,141.3,262.4,129.8,228.7,242.2,93.8,122.0,110.8,275.8
2024-12-01,141.4,265.6,129.8,235.5,242.8,93.4,121.9,110.7,273.3
2025-01-01,141.8,273.5,129.8,236.0,246.3,93.5,121.8,110.3,266.1
2025-02-01,142.1,277.8,130.0,236.1,249.7,93.4,121.8,110.1,230.7
2025-03-01,141.6,268.3,129.9,235.8,246.6,93.6,121.7,109.6,230.7
2025-04-01,141.7,261.3,130.3,235.5,244.9,94.2,121.6,109.8,246.0
2025-05-01,141.1,248.2,130.3,233.8,240.7,94.4,121.7,109.5,236.2
2025-06-01,140.9,250.1,129.9,230.7,240.2,94.4,121.6,109.6,239.6
2025-07-01,141.5,256.9,130.3,230.5,244.0,94.5,121.3,110.0,247.1
